PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Wembanyama, Victor",1641705,0.09,1.19,0.25,0.25,0.44,0.571,0.25,0.31,0.8,0.0,0.13,0.0
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Cissoko, Sidy",1631321,0.005,0.06,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Sochan, Jeremy",1631110,0.052,0.69,0.06,0.06,0.19,0.333,0.06,0.13,0.5,0.0,0.06,0.0
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Wesley, Blake",1631104,0.075,1.0,0.0,0.0,0.25,0.0,0.0,0.19,0.0,0.0,0.06,0.0
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Champagnie, Julian",1630577,0.08,1.06,0.06,0.06,0.31,0.2,0.0,0.06,0.0,0.06,0.25,0.25
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Mamukelashvili, Sandro",1630572,0.033,0.44,0.13,0.13,0.13,1.0,0.06,0.06,1.0,0.06,0.06,1.0
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Jones, Tre",1630200,0.038,0.5,0.0,0.0,0.13,0.0,0.0,0.06,0.0,0.0,0.06,0.0
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Vassell, Devin",1630170,0.005,0.06,0.0,0.0,0.06,0.0,0.0,0.0,,0.0,0.06,0.0
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Bassey, Charles",1629646,0.019,0.25,0.13,0.13,0.19,0.667,0.13,0.19,0.667,0.0,0.0,
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Johnson, Keldon",1629640,0.09,1.19,0.13,0.25,0.38,0.667,0.25,0.25,1.0,0.0,0.13,0.0
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Collins, Zach",1628380,0.118,1.56,0.13,0.13,0.44,0.286,0.06,0.38,0.167,0.06,0.06,1.0
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Barnes, Harrison",203084,0.033,0.44,0.19,0.19,0.25,0.75,0.06,0.06,1.0,0.13,0.19,0.667
1631103,"Branham, Malaki",San Antonio Spurs,1610612759,SAS,made,16,"Paul, Chris",101108,0.146,1.94,0.13,0.13,0.25,0.5,0.0,0.0,,0.13,0.25,0.5
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Wembanyama, Victor",1641705,0.131,4.89,0.79,1.0,1.89,0.528,0.58,1.0,0.579,0.42,0.89,0.471
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Cissoko, Sidy",1631321,0.003,0.11,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Sochan, Jeremy",1631110,0.027,1.0,0.16,0.16,0.26,0.6,0.16,0.21,0.75,0.0,0.05,0.0
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Wesley, Blake",1631104,0.046,1.74,0.16,0.21,0.58,0.364,0.16,0.37,0.429,0.05,0.21,0.25
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Branham, Malaki",1631103,0.055,2.05,0.21,0.32,0.95,0.333,0.21,0.63,0.333,0.11,0.32,0.333
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Champagnie, Julian",1630577,0.094,3.53,0.58,0.58,1.42,0.407,0.21,0.32,0.667,0.37,1.11,0.333
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Mamukelashvili, Sandro",1630572,0.013,0.47,0.05,0.05,0.11,0.5,0.0,0.0,,0.05,0.11,0.5
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Jones, Tre",1630200,0.045,1.68,0.05,0.05,0.26,0.2,0.05,0.16,0.333,0.0,0.11,0.0
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Vassell, Devin",1630170,0.038,1.42,0.05,0.11,0.26,0.4,0.0,0.0,,0.11,0.26,0.4
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Bassey, Charles",1629646,0.02,0.74,0.21,0.21,0.37,0.571,0.21,0.37,0.571,0.0,0.0,
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Johnson, Keldon",1629640,0.103,3.84,0.53,0.74,1.74,0.424,0.47,0.89,0.529,0.26,0.84,0.313
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Collins, Zach",1628380,0.114,4.26,0.47,0.58,1.11,0.524,0.58,0.89,0.647,0.0,0.21,0.0
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Barnes, Harrison",203084,0.113,4.21,0.53,0.58,1.26,0.458,0.21,0.63,0.333,0.37,0.63,0.583
1642264,"Castle, Stephon",San Antonio Spurs,1610612759,SAS,made,19,"Paul, Chris",101108,0.2,7.47,0.05,0.47,0.95,0.5,0.21,0.32,0.667,0.26,0.63,0.417
1630577,"Champagnie, Julian",San Antonio Spurs,1610612759,SAS,made,19,"Castle, Stephon",1642264,0.107,3.32,0.11,0.26,0.58,0.455,0.16,0.32,0.5,0.11,0.26,0.4
