,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
178,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Wiggins, Aaron",1630598,0.028,4,0,0,2,0.0,0,0,0.0,0,2,0.0
179,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Dort, Luguentz",1629652,0.09,13,3,3,5,0.6,1,1,1.0,2,4,0.5
180,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Kenrich",1629026,0.014,2,0,0,0,0.0,0,0,0.0,0,0,0.0
181,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Gilgeous-Alexander, Shai",1628983,0.324,47,1,9,20,0.45,6,15,0.4,3,5,0.6
182,1630198,"Joe, Isaiah",Oklahoma City Thunder,1610612760,OKC,made,10,"Hayward, Gordon",202330,0.028,4,0,0,0,0.0,0,0,0.0,0,0,0.0
183,1630322,"Waters III, Lindy",Oklahoma City Thunder,1610612760,OKC,made,3,"Wallace, Cason",1641717,0.222,2,0,0,0,0.0,0,0,0.0,0,0,0.0
184,1630322,"Waters III, Lindy",Oklahoma City Thunder,1610612760,OKC,made,3,"Dieng, Ousmane",1631172,0.111,1,0,0,0,0.0,0,0,0.0,0,0,0.0
185,1630322,"Waters III, Lindy",Oklahoma City Thunder,1610612760,OKC,made,3,"Williams, Jaylin",1631119,0.222,2,0,0,0,0.0,0,0,0.0,0,0,0.0
186,1630322,"Waters III, Lindy",Oklahoma City Thunder,1610612760,OKC,made,3,"Wiggins, Aaron",1630598,0.222,2,0,0,1,0.0,0,1,0.0,0,0,0.0
187,1630322,"Waters III, Lindy",Oklahoma City Thunder,1610612760,OKC,made,3,"Williams, Kenrich",1629026,0.222,2,0,0,1,0.0,0,1,0.0,0,0,0.0
188,1631172,"Dieng, Ousmane",Oklahoma City Thunder,1610612760,OKC,made,3,"Wiggins, Aaron",1630598,0.25,1,0,0,0,0.0,0,0,0.0,0,0,0.0
189,1631172,"Dieng, Ousmane",Oklahoma City Thunder,1610612760,OKC,made,3,"Waters III, Lindy",1630322,0.5,2,0,0,1,0.0,0,0,0.0,0,1,0.0
190,1631172,"Dieng, Ousmane",Oklahoma City Thunder,1610612760,OKC,made,3,"Williams, Kenrich",1629026,0.25,1,0,0,0,0.0,0,0,0.0,0,0,0.0
191,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Wallace, Cason",1641717,0.041,5,0,1,2,0.5,1,2,0.5,0,0,0.0
192,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Dieng, Ousmane",1631172,0.016,2,0,0,0,0.0,0,0,0.0,0,0,0.0
193,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Jaylin",1631119,0.123,15,1,1,3,0.333,0,0,0.0,1,3,0.333
194,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Jalen",1631114,0.295,36,3,3,7,0.429,2,6,0.333,1,1,1.0
195,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Holmgren, Chet",1631096,0.098,12,2,2,5,0.4,2,2,1.0,0,3,0.0
196,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Giddey, Josh",1630581,0.115,14,2,2,2,1.0,1,1,1.0,1,1,1.0
197,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Waters III, Lindy",1630322,0.008,1,0,0,0,0.0,0,0,0.0,0,0,0.0
198,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Joe, Isaiah",1630198,0.025,3,0,0,0,0.0,0,0,0.0,0,0,0.0
199,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Dort, Luguentz",1629652,0.057,7,0,0,2,0.0,0,2,0.0,0,0,0.0
200,1630598,"Wiggins, Aaron",Oklahoma City Thunder,1610612760,OKC,made,10,"Gilgeous-Alexander, Shai",1628983,0.221,27,2,6,10,0.6,6,10,0.6,0,0,0.0
201,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Dieng, Ousmane",1631172,0.008,1,0,0,1,0.0,0,0,0.0,0,1,0.0
202,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Jaylin",1631119,0.085,10,1,1,2,0.5,1,1,1.0,0,1,0.0
203,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Jalen",1631114,0.246,29,2,3,9,0.333,2,8,0.25,1,1,1.0
204,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Holmgren, Chet",1631096,0.068,8,1,1,3,0.333,1,3,0.333,0,0,0.0
205,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Wiggins, Aaron",1630598,0.068,8,1,1,2,0.5,0,1,0.0,1,1,1.0
206,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Giddey, Josh",1630581,0.085,10,0,0,3,0.0,0,0,0.0,0,3,0.0
207,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Waters III, Lindy",1630322,0.008,1,0,0,0,0.0,0,0,0.0,0,0,0.0
208,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Joe, Isaiah",1630198,0.042,5,2,3,3,1.0,1,1,1.0,2,2,1.0
209,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Dort, Luguentz",1629652,0.059,7,0,0,2,0.0,0,1,0.0,0,1,0.0
210,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Williams, Kenrich",1629026,0.017,2,1,1,1,1.0,1,1,1.0,0,0,0.0
211,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Gilgeous-Alexander, Shai",1628983,0.305,36,2,5,13,0.385,4,8,0.5,1,5,0.2
212,1641717,"Wallace, Cason",Oklahoma City Thunder,1610612760,OKC,made,10,"Hayward, Gordon",202330,0.008,1,0,0,0,0.0,0,0,0.0,0,0,0.0
213,202330,"Hayward, Gordon",Oklahoma City Thunder,1610612760,OKC,made,7,"Wallace, Cason",1641717,0.017,1,0,0,1,0.0,0,0,0.0,0,1,0.0
214,202330,"Hayward, Gordon",Oklahoma City Thunder,1610612760,OKC,made,7,"Williams, Jaylin",1631119,0.086,5,0,0,1,0.0,0,1,0.0,0,0,0.0
215,202330,"Hayward, Gordon",Oklahoma City Thunder,1610612760,OKC,made,7,"Williams, Jalen",1631114,0.155,9,1,1,3,0.333,0,1,0.0,1,2,0.5
216,202330,"Hayward, Gordon",Oklahoma City Thunder,1610612760,OKC,made,7,"Holmgren, Chet",1631096,0.069,4,0,0,1,0.0,0,1,0.0,0,0,0.0
217,202330,"Hayward, Gordon",Oklahoma City Thunder,1610612760,OKC,made,7,"Joe, Isaiah",1630198,0.19,11,0,0,2,0.0,0,2,0.0,0,0,0.0
218,202330,"Hayward, Gordon",Oklahoma City Thunder,1610612760,OKC,made,7,"Dort, Luguentz",1629652,0.121,7,1,1,2,0.5,0,0,0.0,1,2,0.5
219,202330,"Hayward, Gordon",Oklahoma City Thunder,1610612760,OKC,made,7,"Williams, Kenrich",1629026,0.034,2,0,0,0,0.0,0,0,0.0,0,0,0.0
220,202330,"Hayward, Gordon",Oklahoma City Thunder,1610612760,OKC,made,7,"Gilgeous-Alexander, Shai",1628983,0.328,19,1,3,8,0.375,2,7,0.286,1,1,1.0
221,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Wallace, Cason",1641717,0.031,1,0,0,0,0.0,0,0,0.0,0,0,0.0
222,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Williams, Jaylin",1631119,0.125,4,2,2,2,1.0,2,2,1.0,0,0,0.0
223,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Williams, Jalen",1631114,0.219,7,0,2,3,0.667,2,3,0.667,0,0,0.0
224,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Holmgren, Chet",1631096,0.063,2,0,0,0,0.0,0,0,0.0,0,0,0.0
225,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Wiggins, Aaron",1630598,0.063,2,0,0,0,0.0,0,0,0.0,0,0,0.0
226,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Giddey, Josh",1630581,0.063,2,1,1,1,1.0,0,0,0.0,1,1,1.0
227,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Joe, Isaiah",1630198,0.063,2,0,0,1,0.0,0,0,0.0,0,1,0.0
228,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Dort, Luguentz",1629652,0.063,2,0,0,1,0.0,0,1,0.0,0,0,0.0
229,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Gilgeous-Alexander, Shai",1628983,0.25,8,0,3,5,0.6,3,5,0.6,0,0,0.0
230,1629026,"Williams, Kenrich",Oklahoma City Thunder,1610612760,OKC,made,7,"Hayward, Gordon",202330,0.063,2,0,0,0,0.0,0,0,0.0,0,0,0.0
231,1631128,"Braun, Christian",Denver Nuggets,1610612743,DEN,made,12,"Watson, Peyton",1631212,0.021,4,0,0,0,0.0,0,0,0.0,0,0,0.0
232,1631128,"Braun, Christian",Denver Nuggets,1610612743,DEN,made,12,"Nnaji, Zeke",1630192,0.005,1,0,0,0,0.0,0,0,0.0,0,0,0.0
233,1631128,"Braun, Christian",Denver Nuggets,1610612743,DEN,made,12,"Porter Jr., Michael",1629008,0.042,8,3,3,4,0.75,2,2,1.0,1,2,0.5
234,1631128,"Braun, Christian",Denver Nuggets,1610612743,DEN,made,12,"Murray, Jamal",1627750,0.215,41,0,5,12,0.417,4,10,0.4,1,2,0.5
235,1631128,"Braun, Christian",Denver Nuggets,1610612743,DEN,made,12,"Jokić, Nikola",203999,0.241,46,1,5,12,0.417,5,11,0.455,0,1,0.0
236,1631128,"Braun, Christian",Denver Nuggets,1610612743,DEN,made,12,"Gordon, Aaron",203932,0.194,37,3,5,8,0.625,4,4,1.0,1,4,0.25
237,1631128,"Braun, Christian",Denver Nuggets,1610612743,DEN,made,12,"Caldwell-Pope, Kentavious",203484,0.052,10,1,1,2,0.5,0,0,0.0,1,2,0.5
